DB030,DB040,pobreza_energetica,renta_equiv_euros,HY020,quintil_renta,tiene_mayor65,n_miembros,HH010,HH021,HH030,HS120,HD080
1184,ES30,0,17895.4,17895.4,3,TRUE,1,4,1,5,3,1
1185,ES30,0,21609.666666666668,32414.5,3,TRUE,2,4,1,3,5,1
1186,ES30,0,13105.666666666666,19658.5,2,TRUE,2,4,1,3,4,1
1187,ES30,NA,14170.32,21255.48,NA,TRUE,2,4,1,6,4,1
1188,ES30,0,25861.48,64653.7,4,FALSE,4,2,2,4,4,1
1189,ES30,0,31444.333333333336,66033.1,4,FALSE,4,2,2,6,3,1
1190,ES30,0,53714.46666666667,80571.7,5,FALSE,2,2,1,6,6,1
1191,ES30,0,36076.2,90190.5,5,FALSE,4,2,2,5,4,1
1192,ES30,NA,36287.6,54431.4,NA,FALSE,2,4,1,3,4,1
1194,ES30,1,17336.999999999996,36407.7,3,FALSE,4,4,2,4,4,1
1195,ES30,0,4378.4,4378.4,1,FALSE,1,4,1,5,4,2
1196,ES30,0,26283.466666666664,39425.2,4,FALSE,2,3,2,6,4,1
1198,ES30,0,91561.2,137341.8,5,TRUE,2,2,1,7,4,1
1199,ES30,0,20089.26086956522,46205.3,3,FALSE,4,3,2,5,5,1
1200,ES30,1,19383.066666666666,29074.6,3,TRUE,2,4,5,5,2,2
1201,ES30,0,10082.48611111111,36296.95,1,FALSE,7,3,3,4,1,2
1203,ES30,0,18100.52,45251.3,3,FALSE,4,1,1,6,5,1
1204,ES30,0,13608.964285714286,38105.1,2,TRUE,5,3,1,5,3,2
1205,ES30,0,23386.239999999998,58465.6,3,TRUE,4,1,1,5,4,1
1207,ES30,0,28156.399999999998,42234.6,4,FALSE,2,4,1,5,5,1
1208,ES30,0,35517.608,88794.02,5,FALSE,4,4,1,5,5,1
1209,ES30,0,21520.133333333335,32280.2,3,FALSE,2,4,1,5,3,1
1210,ES30,NA,22684.933333333334,34027.4,NA,FALSE,2,4,2,6,4,1
1211,ES30,1,11682.4,11682.4,1,TRUE,1,4,1,4,3,1
1212,ES30,NA,20650.2,30975.3,NA,TRUE,2,4,1,6,6,1
1213,ES30,0,7482.7,14965.4,1,FALSE,3,2,1,8,4,1
1214,ES30,0,25433.466666666664,38150.2,4,FALSE,2,4,1,4,5,1
1215,ES30,1,10218.904761904761,21459.7,1,FALSE,4,4,2,3,3,2
1217,ES30,0,21080.45,42160.9,3,FALSE,3,4,1,4,3,1
1218,ES30,0,13131.466666666667,19697.2,2,TRUE,2,4,1,5,5,1
1219,ES30,1,6923.055555555556,12461.5,1,FALSE,3,4,3,5,3,2
1220,ES30,1,13153.8,26307.6,2,TRUE,3,4,1,5,2,1
1221,ES30,0,6973.857142857143,14645.1,1,FALSE,4,4,2,5,4,1
1222,ES30,0,14429.933333333334,21644.9,2,FALSE,2,4,1,5,4,1
1223,ES30,0,14746.12,36865.3,2,FALSE,4,4,1,5,4,1
1224,ES30,1,11186.36,27965.9,1,FALSE,4,4,1,7,3,3
1225,ES30,0,24167.666666666668,43501.8,4,FALSE,3,4,2,6,4,1
1226,ES30,NA,7144.1875,11430.7,NA,FALSE,3,4,1,5,4,3
1227,ES30,0,15490.95652173913,35629.2,2,FALSE,4,4,1,4,4,1
1228,ES30,0,20240.079999999998,50600.2,3,FALSE,4,4,1,6,4,1
1229,ES30,0,12679.52,31698.8,2,FALSE,4,4,1,5,3,1
1230,ES30,1,21730.335,43460.67,3,TRUE,3,2,1,5,4,1
1231,ES30,0,67883.26666666666,101824.9,5,FALSE,2,1,1,6,6,1
1232,ES30,1,24128.161111111112,43430.69,4,FALSE,3,3,2,3,1,1
1233,ES30,0,21501.8,32252.7,3,TRUE,2,1,1,7,1,1
1234,ES30,0,13213.857142857141,27749.1,2,FALSE,4,3,2,5,2,2
1235,ES30,0,22481.733333333334,33722.6,3,TRUE,2,1,2,5,5,1
1236,ES30,0,19206.166666666664,34571.1,3,FALSE,3,4,2,5,4,1
1237,ES30,0,22434.222222222223,40381.6,3,FALSE,3,4,2,5,4,1
1238,ES30,0,13120.066666666666,19680.1,2,FALSE,2,4,1,5,5,1
1239,ES30,0,21782.777777777777,39209,3,FALSE,3,4,2,5,5,1
1240,ES30,0,16094.9,16094.9,2,FALSE,1,4,2,5,3,3
1241,ES30,0,20506.153846153844,26658,3,FALSE,2,4,2,4,5,1
1242,ES30,0,22515.782608695656,51786.3,3,FALSE,4,4,2,6,4,3
1244,ES30,0,3561.6666666666665,6411,1,FALSE,3,4,3,4,5,2
1246,ES30,0,68823.6,68823.6,5,FALSE,1,4,1,4,6,1
1247,ES30,0,15176.368421052632,28835.1,2,TRUE,4,4,2,4,1,2
1248,ES30,0,21579.368421052633,41000.8,3,FALSE,4,4,3,4,5,1
1249,ES30,0,24361.166666666668,36541.75,4,FALSE,2,4,1,8,5,1
1250,ES30,0,24031.466666666664,36047.2,4,FALSE,2,4,2,5,4,1
1251,ES30,0,9616.5,9616.5,1,TRUE,1,4,4,3,3,2
1252,ES30,0,35247.6,35247.6,5,FALSE,1,4,3,2,4,1
1253,ES30,0,29374.7,29374.7,4,TRUE,1,4,1,5,4,1
1254,ES30,NA,29978.7,29978.7,NA,TRUE,1,4,1,4,5,1
1256,ES30,0,26764.611111111113,48176.3,4,FALSE,3,4,2,3,5,1
1257,ES30,0,23740.2,23740.2,4,FALSE,1,4,5,3,4,1
1258,ES30,0,37675.85,75351.7,5,TRUE,3,4,1,5,4,1
1259,ES30,0,23771.90476190476,49921,4,FALSE,4,4,2,5,4,1
1260,ES30,NA,37599.666666666664,78959.3,NA,FALSE,4,4,5,4,4,1
1261,ES30,0,44512.8,44512.8,5,TRUE,1,3,1,2,4,1
1264,ES30,1,18084.3,18084.3,3,FALSE,1,4,5,3,4,2
1265,ES30,0,26712.920000000002,66782.3,4,FALSE,4,4,2,8,5,1
1266,ES30,0,21469.866666666665,32204.8,3,TRUE,2,3,1,4,4,1
1267,ES30,0,14894.48,14894.48,2,TRUE,1,4,5,4,4,1
1268,ES30,0,58517.12142857143,163847.94,5,FALSE,5,4,1,6,6,1
1269,ES30,0,47903.4,71855.1,5,TRUE,2,4,1,6,4,1
1270,ES30,0,38434.200000000004,57651.3,5,FALSE,2,4,1,5,6,1
1271,ES30,0,0,0,1,TRUE,2,4,3,4,4,1
1272,ES30,0,23195.2,34792.8,3,TRUE,2,3,1,5,4,1
1275,ES30,0,11955.1,11955.1,2,FALSE,1,4,3,3,3,2
1276,ES30,0,19390.6,19390.6,3,FALSE,1,4,3,5,2,1
1278,ES30,1,7601.821739130435,17484.19,1,FALSE,4,4,4,5,2,2
1279,ES30,0,15712.68,23569.02,2,TRUE,2,3,1,5,5,1
1280,ES30,0,9113.7,9113.7,1,FALSE,1,3,4,3,4,1
1281,ES30,0,26376.533333333336,39564.8,4,TRUE,2,4,1,4,5,1
1282,ES30,0,30755.5,30755.5,4,FALSE,1,3,1,6,6,1
1283,ES30,0,38850.9,38850.9,5,FALSE,1,4,3,5,4,1
1284,ES30,0,38691.722222222226,69645.1,5,FALSE,3,4,3,4,4,1
1285,ES30,NA,13590.6,13590.6,NA,TRUE,1,4,4,4,4,1
1286,ES30,0,40576.86666666667,60865.3,5,TRUE,2,4,1,5,6,1
1287,ES30,0,21317.466666666667,31976.2,3,FALSE,2,4,3,4,4,1
1288,ES30,0,19409.809523809523,40760.6,3,FALSE,4,4,3,5,4,1
1289,ES30,0,21454.672,53636.68,3,TRUE,4,4,1,7,5,1
1290,ES30,0,41746.65,83493.3,5,FALSE,3,4,2,5,5,1
1291,ES30,0,32046.391304347828,73706.7,4,FALSE,4,4,2,6,5,1
1293,ES30,0,31594.1,31594.1,4,TRUE,1,4,1,6,5,1
1294,ES30,0,19766.98,19766.98,3,FALSE,1,4,3,5,4,1
1295,ES30,0,32616.600000000002,48924.9,4,TRUE,2,4,1,5,4,1
1296,ES30,0,60641.6,90962.4,5,FALSE,2,4,2,6,5,1
1298,ES30,0,12938.821428571428,36228.7,2,FALSE,5,4,3,6,3,1
1299,ES30,0,11708.946666666665,17563.42,1,TRUE,2,3,1,4,3,2
1301,ES30,0,17882.399999999998,26823.6,3,FALSE,2,4,1,3,4,1
1302,ES30,0,32705.600000000002,49058.4,4,FALSE,2,4,3,4,3,1
1304,ES30,0,20831.5,20831.5,3,TRUE,1,4,3,4,5,3
1305,ES30,0,9540.1,9540.1,1,FALSE,1,4,1,4,5,1
1306,ES30,0,19220.733333333334,57662.2,3,TRUE,5,4,1,5,5,1
1308,ES30,0,15227.75,30455.5,2,TRUE,3,4,1,5,4,1
1310,ES30,1,11529.190476190475,24211.3,1,FALSE,4,4,3,5,1,2
1311,ES30,1,11927.304347826088,27432.8,2,FALSE,4,3,3,5,2,3
1312,ES30,0,6387.533333333333,9581.3,1,FALSE,2,3,3,3,3,2
1314,ES30,0,19193,19193,3,FALSE,1,3,2,4,5,1
1315,ES30,0,24253.08260869565,55782.09,4,FALSE,4,4,2,5,4,1
1316,ES30,0,20375.399999999998,30563.1,3,TRUE,2,4,1,4,5,1
1318,ES30,0,20205.666666666668,30308.5,3,TRUE,2,4,1,5,4,1
1319,ES30,1,12038.9,30097.25,2,TRUE,4,4,3,4,3,3
1320,ES30,1,5695.5,10251.9,1,FALSE,3,4,3,3,3,1
1321,ES30,1,3660.1066666666666,5490.16,1,FALSE,2,4,3,4,2,2
1322,ES30,1,20019.120000000003,50047.8,3,FALSE,4,4,1,5,3,2
1323,ES30,0,23229.15,46458.3,3,TRUE,3,4,3,3,1,2
1324,ES30,1,7398.4000000000005,11097.6,1,TRUE,2,4,1,5,3,2
1325,ES30,0,14205.33,14205.33,2,TRUE,1,4,1,5,4,1
1326,ES30,1,13147.833333333332,23666.1,2,FALSE,3,4,3,5,2,2
1327,ES30,1,14795.720000000001,36989.3,2,FALSE,4,4,2,5,2,2
1328,ES30,0,23748.777777777777,42747.8,4,FALSE,3,4,5,3,5,1
1329,ES30,0,22767.933333333334,34151.9,3,TRUE,2,4,1,5,4,1
1330,ES30,0,14408.666666666666,25935.6,2,FALSE,3,4,3,5,4,3
1331,ES30,1,927.8,1855.6,1,FALSE,3,4,2,5,1,2
1333,ES30,1,0,0,1,FALSE,3,4,2,5,3,2
1334,ES30,0,18768.533333333333,28152.8,3,FALSE,2,4,3,5,3,1
1335,ES30,1,6523.634615384615,16961.45,1,FALSE,5,4,3,5,4,1
1336,ES30,1,10427.2,26068,1,FALSE,4,3,3,1,2,1
1337,ES30,0,9885.356521739131,22736.32,1,FALSE,4,4,3,5,5,1
1338,ES30,NA,16894.933333333334,25342.4,NA,TRUE,2,4,1,5,5,1
1340,ES30,0,9839.533333333333,14759.3,1,TRUE,2,3,1,5,2,2
1341,ES30,0,13594.45,27188.9,2,FALSE,3,3,2,5,3,1
1342,ES30,1,24252.761904761905,50930.8,4,FALSE,4,4,2,6,3,1
1343,ES30,0,8680.95,17361.9,1,FALSE,3,4,3,5,3,1
1344,ES30,0,36510.72,36510.72,5,TRUE,1,3,2,4,4,1
1345,ES30,NA,29416,29416,NA,FALSE,1,3,1,4,5,1
1347,ES30,0,17642.38095238095,37049,3,FALSE,4,4,2,5,3,1
1348,ES30,0,13401.079999999998,33502.7,2,FALSE,4,4,1,5,2,1
1349,ES30,0,30361,75902.5,4,FALSE,4,4,1,4,2,1
1350,ES30,1,15721.4,15721.4,2,TRUE,1,4,4,3,2,2
1351,ES30,1,15683.651612903226,48619.32,2,TRUE,6,4,2,5,1,2
1352,ES30,0,17827.666666666668,26741.5,3,FALSE,2,4,1,5,4,1
1353,ES30,1,29695.533333333336,44543.3,4,FALSE,2,4,2,2,3,2
1354,ES30,0,67090.59999999999,100635.9,5,FALSE,2,4,3,4,3,1
1355,ES30,0,19085.92,19085.92,3,TRUE,1,4,1,4,4,1
1356,ES30,0,-6814.1,-6814.1,1,FALSE,1,4,3,4,1,2
1357,ES30,0,18062.13043478261,41542.9,3,FALSE,4,4,2,5,4,1
1359,ES30,0,31325.444444444445,56385.8,4,FALSE,3,4,2,3,4,1
1361,ES30,NA,25691.4,25691.4,NA,FALSE,1,3,1,4,5,1
1363,ES30,0,24150.399999999998,36225.6,4,FALSE,2,4,2,6,4,1
1364,ES30,0,41018.53333333333,61527.8,5,TRUE,2,4,1,6,5,1
1365,ES30,0,30955.290322580644,95961.4,4,FALSE,6,4,2,6,4,1
1367,ES30,0,31538.86666666667,47308.3,4,TRUE,2,4,1,3,4,1
1368,ES30,1,28595.7,71489.25,4,TRUE,4,4,1,6,4,1
1369,ES30,1,24248.666666666664,50922.2,4,FALSE,4,4,3,5,2,2
1370,ES30,1,7904.4800000000005,19761.2,1,FALSE,4,4,2,4,3,2
1371,ES30,0,3087.2,6174.4,1,FALSE,3,3,2,3,2,1
1372,ES30,0,34454.13333333333,51681.2,5,FALSE,2,4,1,5,3,1
1373,ES30,0,16968.9,16968.9,2,FALSE,1,3,2,4,5,1
1374,ES30,0,20612.5,20612.5,3,FALSE,1,3,1,5,4,1
1375,ES30,NA,11604.8,11604.8,NA,TRUE,1,4,1,5,4,1
1376,ES30,0,12279.3,12279.3,2,FALSE,1,4,1,3,4,1
1379,ES30,NA,9309.92,9309.92,NA,TRUE,1,4,1,4,2,2
1380,ES30,0,41156.53333333333,61734.8,5,FALSE,2,4,2,5,5,1
1381,ES30,0,23987.079999999998,59967.7,4,FALSE,4,4,1,5,5,1
1382,ES30,0,23209.8,58024.5,3,FALSE,4,4,1,6,5,1
1383,ES30,0,24133.46,48266.92,4,FALSE,3,4,1,6,5,1
1384,ES30,0,38077.1,76154.2,5,FALSE,3,4,1,6,3,1
1386,ES30,1,22906.3,22906.3,3,TRUE,1,4,1,4,1,2
1388,ES30,0,29005.45,58010.9,4,FALSE,3,4,1,5,4,1
1391,ES30,0,5946.703333333334,17840.11,1,FALSE,5,3,1,4,3,1
1392,ES30,1,4818.2,4818.2,1,FALSE,1,3,4,4,1,2
1393,ES30,NA,15848.7,15848.7,NA,TRUE,1,3,1,6,4,2
1396,ES30,0,13717.7,27435.4,2,TRUE,3,3,1,5,5,1
1397,ES30,0,23878.777777777777,42981.8,4,FALSE,3,4,2,5,3,1
1398,ES30,0,61850.52380952381,129886.1,5,FALSE,4,4,2,5,6,1
1399,ES30,0,38129.73333333333,57194.6,5,FALSE,2,4,2,6,4,1
1400,ES30,0,28248.2,42372.3,4,FALSE,2,4,2,4,4,1
1401,ES30,0,29049.8,29049.8,4,FALSE,1,3,2,5,2,1
1402,ES30,NA,24136.4,24136.4,NA,TRUE,1,3,3,4,3,1
1403,ES30,0,35961.73809523809,75519.65,5,FALSE,4,2,2,5,6,1
1404,ES30,NA,12708.9,12708.9,NA,TRUE,1,2,2,5,3,2
1405,ES30,0,14590.208333333334,35016.5,2,FALSE,5,1,5,6,6,1
1406,ES30,1,11135.333333333334,33406,1,TRUE,5,4,2,6,1,2
1407,ES30,NA,13728.733333333332,20593.1,NA,TRUE,2,4,1,5,3,1
1408,ES30,0,11591.568,28978.92,1,FALSE,4,4,1,5,3,1
1409,ES30,NA,36829.46666666667,55244.2,NA,TRUE,2,4,1,5,5,1
1410,ES30,1,12123.608,30309.02,2,FALSE,4,4,1,6,2,3
1411,ES30,0,20386.14285714286,42810.9,3,FALSE,4,2,2,6,5,1
1412,ES30,0,27314.108,68285.27,4,FALSE,4,2,2,6,5,1
1413,ES30,0,17739.6,44349,3,FALSE,4,2,1,6,3,1
1414,ES30,1,9694.380952380952,20358.2,1,FALSE,4,4,3,4,1,2
1415,ES30,0,74761.75,149523.5,5,FALSE,3,1,2,7,5,1
1418,ES30,0,79535.22222222222,143163.4,5,FALSE,3,2,2,5,6,1
1419,ES30,0,17087,25630.5,2,TRUE,2,2,1,5,3,1
1420,ES30,0,23769.600000000002,35654.4,4,TRUE,2,2,1,7,5,1
1421,ES30,0,37660.90666666667,56491.36,5,TRUE,2,2,1,7,5,1
1422,ES30,NA,39843.73333333333,119531.2,NA,TRUE,5,2,1,5,4,1
1423,ES30,0,36451.444444444445,65612.6,5,FALSE,3,4,3,4,6,1
1424,ES30,0,29154.65,58309.3,4,FALSE,3,1,1,6,4,1
1425,ES30,0,32632.04347826087,75053.7,4,FALSE,4,2,1,9,5,1
1426,ES30,0,13581.06,27162.12,2,FALSE,3,4,1,5,2,2
1427,ES30,0,37581.4,75162.8,5,FALSE,3,2,1,7,5,1
1429,ES30,0,30244.2,60488.4,4,FALSE,3,4,2,5,4,1
1430,ES30,0,24736.52,61841.3,4,FALSE,4,4,2,5,4,1
1431,ES30,0,20640.468,51601.17,3,FALSE,4,4,2,5,4,1
1432,ES30,1,12036.72,12036.72,2,FALSE,1,4,1,5,2,2
1433,ES30,NA,16543.399999999998,24815.1,NA,TRUE,2,4,1,6,2,1
1434,ES30,0,41747.13333333333,62620.7,5,TRUE,2,4,1,6,6,1
1437,ES30,0,19503.1,19503.1,3,FALSE,1,4,3,1,5,1
1438,ES30,1,4679,11697.5,1,FALSE,4,3,3,4,3,2
1440,ES30,0,10035.85,20071.7,1,FALSE,3,3,1,7,5,1
1441,ES30,0,14695.03043478261,33798.57,2,FALSE,4,4,2,5,3,1
1442,ES30,0,14165.800000000001,21248.7,2,FALSE,2,4,3,4,3,1
1443,ES30,0,14071.096666666666,42213.29,2,FALSE,5,2,2,8,4,2
1444,ES30,0,16909.64,42274.1,2,FALSE,4,2,2,7,4,1
1445,ES30,0,29775.6,29775.6,4,FALSE,1,2,2,7,3,1
1446,ES30,0,31603.45,63206.9,4,FALSE,3,2,2,8,5,1
1447,ES30,0,19315.8,28973.7,3,TRUE,2,2,1,5,5,1
1449,ES30,1,14986.6,29973.2,2,TRUE,3,1,1,10,3,2
1450,ES30,0,17206.722222222223,30972.1,3,FALSE,3,4,3,5,4,1
1451,ES30,1,12011.348387096774,37235.18,2,FALSE,6,2,2,7,4,1
1452,ES30,0,15502.533333333333,23253.8,2,TRUE,2,2,3,6,4,1
1453,ES30,0,13709.357142857143,38386.2,2,FALSE,5,4,3,5,2,2
1454,ES30,1,8936.904761904761,18767.5,1,FALSE,4,2,3,5,1,2
2076,ES30,0,22656.8,33985.2,3,FALSE,2,4,3,2,5,1
2109,ES30,1,14452.6,14452.6,2,FALSE,1,4,3,1,2,2
2254,ES30,0,44902.6,44902.6,5,FALSE,1,4,2,6,5,1
3988,ES30,1,12146.333333333334,18219.5,2,FALSE,2,4,1,3,2,2
4000,ES30,0,11897.5,17846.25,2,TRUE,2,4,1,5,4,NA
4529,ES30,1,5115,7672.5,1,FALSE,2,4,3,3,1,2
4531,ES30,0,14770.3,29540.6,2,TRUE,3,4,1,5,4,1
4532,ES30,0,29230.166666666668,52614.3,4,FALSE,3,4,3,4,4,1
4533,ES30,0,5207.2,5207.2,1,FALSE,1,4,4,5,3,1
4536,ES30,NA,10711.1,10711.1,NA,TRUE,1,4,1,5,3,2
4537,ES30,0,8629.203846153847,22435.93,1,FALSE,5,4,5,5,2,1
4538,ES30,0,21735.75,43471.5,3,TRUE,3,4,1,5,5,1
4539,ES30,NA,14378.9,14378.9,NA,TRUE,1,4,3,5,3,2
4540,ES30,1,9429.7,9429.7,1,TRUE,1,4,5,4,3,2
4541,ES30,0,23063.5,46127,3,TRUE,3,4,1,5,3,2
4542,ES30,0,8569.6,8569.6,1,TRUE,1,4,1,5,4,2
4543,ES30,0,10317.466666666667,15476.2,1,FALSE,2,4,1,5,3,1
4544,ES30,1,4497.95,8995.9,1,FALSE,3,4,1,3,2,2
4545,ES30,1,6775.774193548387,21004.9,1,FALSE,6,4,4,6,2,1
4546,ES30,0,17088.15,34176.3,2,TRUE,3,4,1,5,3,1
4547,ES30,1,8126.133333333334,12189.2,1,TRUE,2,4,1,6,4,1
4548,ES30,1,10441.4,15662.1,1,TRUE,2,4,1,5,2,3
4549,ES30,1,9027.947826086956,20764.28,1,FALSE,4,3,3,4,3,1
4550,ES30,0,7449.25,14898.5,1,FALSE,3,4,3,4,2,2
4551,ES30,NA,8606.2,8606.2,NA,TRUE,1,1,1,5,4,1
4552,ES30,0,26535.666666666668,39803.5,4,FALSE,2,1,1,7,4,1
4553,ES30,1,22599.239999999998,56498.1,3,FALSE,4,1,2,6,1,2
4555,ES30,0,24221.46428571429,67820.1,4,FALSE,5,1,1,10,3,3
4556,ES30,NA,10686.733333333334,16030.1,NA,TRUE,2,2,1,6,3,1
4557,ES30,0,27722,55444,4,FALSE,3,1,1,6,3,2
4558,ES30,NA,4967.5999999999995,7451.4,NA,FALSE,2,1,1,6,2,2
4559,ES30,0,111681.79166666667,268036.3,5,FALSE,5,2,2,6,4,1
